Player,Team,POS,RUSH_ATT,RUSH_YDS,RUSH_TDS,REC,REC_YDS,REC_TDS,FL,FPTS
Raymond Calais,TB,RB,19.4,75.5,0.6,4,41,0,0,15.4
Mike Davis,CAR,RB,22.5,91,0.7,3.2,18.9,0,0,15.4
Eno Benjamin,ARI,RB,18.9,77.3,0.5,4,31.9,0.2,0.1,14.9
Brian Hill,ATL,RB,17.9,74.9,0.4,4.7,37.8,0.2,0.1,14.7
Wayne Gallman,NYG,RB,16.2,63.7,0.6,4,35,0,0,13.6
Bo Scarbrough,DET,RB,16.1,67,0.3,4.2,34.7,0.2,0.1,13
Alec Ingold,LV,RB,11.9,48.7,0.4,4,33.2,0.2,0.1,11.5
Ameer Abdullah,MIN,RB,8.7,35.8,0.2,5.8,47.5,0.2,0.1,10.9
Alex Armah,CAR,RB,9.7,23.3,1.1,6,18,0,0,10.7
Travis Homer,SEA,RB,13.3,56,0.4,2.4,18.5,0.1,0.1,10.2
Trenton Cannon,NYJ,RB,11.1,45.3,0.2,4,33,0.2,0.1,10.1
Kalen Ballage,MIA,RB,10.4,42.4,0.3,4.3,30.7,0.1,0.1,9.7
Jordan Chunn,DAL,RB,12.8,51.7,0.4,2.1,16.3,0.1,0.1,9.7
Nick Bellore,SEA,RB,0,0,0,3.4,32.2,1,0,9.5
Elijhaa Penny,NYG,RB,7.4,30.4,0.3,4.1,33.5,0.2,0,9
J.D. McKissic,WAS,RB,6.9,30,0.2,4.3,34.6,0.1,0,8.3
Taiwan Jones,BUF,RB,10.3,42.4,0.3,1.9,15.6,0.1,0.1,7.7
T.J. Logan,TB,RB,3.9,16.4,0.1,4.7,34.8,0.2,0,7.3
Anthony Sherman,KC,RB,3.4,14,0.1,4.3,36.9,0.2,0,6.9
Rodney Anderson,CIN,RB,8,32.7,0.2,2,15.9,0.1,0.1,6.6
Jordan Scarlett,CAR,RB,7.2,29.5,0.2,2.2,17,0.1,0,6.2
Patrick DiMarco,BUF,RB,2.1,8.5,0.1,3.7,31.7,0.1,0,5
Keith Smith,ATL,RB,3.6,14.7,0.1,2.4,19.5,0.1,0,4.4
Jakob Johnson,NE,RB,2,8.2,0.1,2.1,18.1,0.1,0,3.4
De'Lance Turner,MIA,RB,0,0,0,0,0,0,0,0
Troymaine Pope,LAC,RB,0,0,0,0,0,0,0,0
Kerrith Whyte Jr.,PIT,RB,8.1,34.8,0.2,0,0,0,0,0
C.J. Prosise,SEA,RB,0,0,0,0,0,0,0,0
Michael Burton,NO,RB,0,0,0,0,0,0,0,0
Khalfani Muhammad,DEN,RB,2.1,8.2,0.1,0,0,0,0,0
Trey Edmunds,PIT,RB,0,0,0,0,0,0,0,0
Cethan Carter,CIN,RB,0,0,0,4.1,34.8,0.1,0,0
Senorise Perry,TEN,RB,0,0,0,0,0,0,0,0
Chandler Cox,MIA,RB,0,0,0,0,0,0,0,0
Jamize Olawale,DAL,RB,0,0,0,2.1,19.1,0.1,0,0
Khari Blasingame,TEN,RB,0,0,0,6.9,60.1,0.4,0,0
Devante Mays,JAC,RB,0,0,0,0,0,0,0,0
Damarea Crockett,GB,RB,0,0,0,0,0,0,0,0
Roosevelt Nix,IND,RB,0,0,0,2,17.4,0.1,0,0
Bruce Anderson,IND,RB,0,0,0,0,0,0,0,0
Rod Smith,LV,RB,38.6,155.6,1.5,0,0,0,0.1,0
Christian Wade,BUF,RB,0,0,0,0,0,0,0,0
Shaun Wilson,TEN,RB,0,0,0,0,0,0,0,0
Samaje Perine,CIN,RB,0,0,0,0,0,0,0,0
Isaac Nauta,DET,RB,0,0,0,0,0,0,0,0
Karan Higdon,HOU,RB,11.5,47.1,0.3,0,0,0,0.1,0
Nick Bawden,DET,RB,0,0,0,8.5,71.6,0.4,0,0
Craig Reynolds,ATL,RB,0,0,0,0,0,0,0,0
Darius Jackson,IND,RB,0,0,0,0,0,0,0,0
Derek Watt,PIT,RB,0,0,0,4.4,38.6,0.2,0,0
Malcolm Johnson,GB,RB,0,0,0,0,0,0,0,0
Myles Gaskin,MIA,RB,0,0,0,0,0,0,0,0
Dexter Williams,GB,RB,5.8,23.9,0.2,0,0,0,0,0
Javorius Allen,NYG,RB,0,0,0,0,0,0,0,0
Tony Brooks-James,MIN,RB,0,0,0,0,0,0,0,0
D.J. Foster,ARI,RB,0,0,0,0,0,0,0,0
Ricky Ortiz,NO,RB,0,0,0,4.1,35.4,0.2,0,0
Ty Johnson,DET,RB,0,0,0,0,0,0,0,0
Devontae Booker,DEN,RB,0,0,0,0,0,0,0,0
Andrew Beck,DEN,RB,0,0,0,7.8,64,0.3,0,0
Elijah McGuire,KC,RB,0,0,0,0,0,0,0,0
Jonathan Hilliman,NYG,RB,0,0,0,0,0,0,0,0
Josh Ferguson,WAS,RB,0,0,0,0,0,0,0,0
David Fluellen,TEN,RB,0,0,0,0,0,0,0,0
John Kelly,LAR,RB,0,0,0,0,0,0,0,0
D'Ernest Johnson,CLE,RB,8.1,34,0.3,0,0,0,0,0
Wendell Smallwood,WAS,RB,0,0,0,0,0,0,0,0
Devine Ozigbo,JAC,RB,4.9,20.5,0.1,0,0,0,0,0
Peyton Barber,WAS,RB,0,0,0,0,0,0,0,0
Tyler Ervin,GB,RB,0,0,0,0,0,0,0,0
Spencer Ware,KC,RB,0,0,0,0,0,0,0,0
Malcolm Perry,MIA,RB,0,0,0,0,0,0,0,0
Dan Vitale,NE,RB,0,0,0,0,0,0,0,0
Cullen Gillaspia,HOU,RB,0,0,0,0,0,0,0,0
Jonathan Williams,IND,RB,0,0,0,0,0,0,0,0
Frank Gore,NYJ,RB,0,0,0,0,0,0,0,0
Elijah Holyfield,PHI,RB,0,0,0,0,0,0,0,0
