"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Darius Slayton","NYG","WR38","0.0","0.0","0.0","54.3","800.2","6.2","0.7","115.9"
"Brandin Cooks","HOU","WR39","5.9","46.7","0.0","57.6","846.0","4.3","0.7","114.3"
"Tevin Coleman","SF","RB41","145.6","621.3","5.2","16.5","157.3","1.2","1.2","114.2"
"Jamison Crowder","NYJ","WR40","2.0","12.0","0.0","74.2","843.8","4.9","0.7","113.6"
"Diontae Johnson","PIT","WR41","4.0","31.4","0.1","69.7","802.0","5.4","1.4","113.5"
"Robby Anderson","CAR","WR42","1.4","7.3","0.0","56.0","838.1","4.9","0.7","112.5"
"John Brown","BUF","WR43","2.0","10.5","0.0","58.8","839.4","4.7","0.6","112.4"
"Christian Kirk","ARI","WR44","12.0","91.6","0.2","66.2","755.6","4.6","0.6","112.4"
"Jared Cook","NO","TE6","0.0","0.0","0.0","48.6","693.4","7.2","0.7","111.3"
"Will Fuller","HOU","WR45","0.0","2.0","0.0","60.6","846.7","4.6","0.7","111.2"
"James White","NE","RB42","76.5","309.5","1.9","60.7","538.7","2.9","1.2","110.9"
"Golden Tate","NYG","WR46","2.9","21.9","0.1","65.1","806.8","4.8","0.8","110.5"
"Zack Moss","BUF","RB43","148.7","674.1","4.5","17.0","145.1","0.8","1.8","110.3"
"Mike Williams","LAC","WR47","2.0","8.0","0.0","47.0","866.9","3.8","0.1","110.0"
"Henry Ruggs III","LV","WR48","4.0","23.8","0.1","59.2","791.7","4.6","0.4","109.4"
"Breshad Perriman","NYJ","WR49","1.9","10.9","0.0","49.1","788.0","4.9","0.1","109.4"
"Emmanuel Sanders","NO","WR50","1.0","9.6","0.1","63.0","765.1","5.4","0.6","109.0"
"Evan Engram","NYG","TE7","0.0","0.0","0.0","67.8","763.6","5.6","0.6","108.8"
"Matt Breida","MIA","RB44","137.9","618.1","2.1","36.3","264.3","1.6","1.4","107.7"
"Boston Scott","PHI","RB45","107.7","436.4","5.9","35.5","277.1","0.5","1.4","107.0"
"Curtis Samuel","CAR","WR51","20.2","141.6","0.8","49.5","591.6","4.9","0.6","106.6"
"Rob Gronkowski","TB","TE8","0.0","0.0","0.0","52.8","781.9","4.9","0.6","106.5"
"Hunter Henry","LAC","TE9","0.0","0.0","0.0","61.9","742.9","5.4","0.7","105.2"
"Sammy Watkins","KC","WR52","3.2","23.3","0.1","55.1","796.4","3.9","0.7","104.5"
"Tyler Higbee","LAR","TE10","0.0","0.0","0.0","72.0","778.8","4.4","0.6","103.2"
"CeeDee Lamb","DAL","WR53","2.1","12.4","0.0","50.9","774.8","4.3","1.2","102.6"
"Jerry Jeudy","DEN","WR54","2.0","8.0","0.0","54.7","790.0","4.2","1.2","102.6"
"Tarik Cohen","CHI","RB46","84.2","318.0","1.7","70.4","476.9","2.6","1.3","102.5"
"Hunter Renfrow","LV","WR55","0.0","0.0","0.0","60.3","721.9","5.2","0.7","101.9"
"Jalen Reagor","PHI","WR56","2.0","11.7","0.0","53.3","715.9","4.8","1.2","99.8"
"Duke Johnson","HOU","RB47","90.6","445.5","1.7","38.7","341.7","2.2","1.5","99.3"
"DeSean Jackson","PHI","WR57","4.0","33.0","1.0","43.2","643.5","4.0","0.1","97.6"
"Justin Jefferson","MIN","WR58","2.0","11.0","0.0","53.0","741.4","4.1","1.2","97.4"
"Noah Fant","DEN","TE11","0.0","0.0","0.0","53.5","710.5","4.6","0.7","97.1"
"J.K. Dobbins","BAL","RB48","120.4","604.1","3.2","15.4","136.9","0.9","1.2","96.5"
"Justin Jackson","LAC","RB49","128.8","615.5","3.3","20.8","133.0","0.5","0.7","96.5"
"Tony Pollard","DAL","RB50","113.4","524.0","2.6","27.2","203.1","1.7","1.3","96.0"
"Austin Hooper","CLE","TE12","0.0","0.0","0.0","57.9","646.6","5.4","0.6","95.8"
"Mecole Hardman","KC","WR59","5.1","17.9","0.1","38.3","619.9","5.6","1.1","95.8"
"Mike Gesicki","MIA","TE13","0.0","0.0","0.0","60.3","665.3","5.1","0.7","95.7"
"Anthony Miller","CHI","WR60","1.9","6.7","0.0","58.5","740.4","3.6","0.7","95.2"
