"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Cyril Grayson","TB","WR251","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tony Brooks-James","MIN","RB158","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Malone","NYJ","WR252","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"D.J. Foster","ARI","RB159","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brandon Powell","ATL","WR253","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ricky Ortiz","NO","RB160","0.0","0.0","0.0","4.1","35.4","0.2","0.0","0.0"
"Kelvin McKnight","DEN","WR254","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Travis Fulgham","DET","WR255","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ty Johnson","DET","RB161","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Marvin Hall","DET","WR256","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Devontae Booker","DEN","RB162","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Clive Walford","MIA","TE136","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Isaiah Coulter","HOU","WR257","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Andrew Beck","DEN","TE137","0.0","0.0","0.0","12.4","126.5","1.2","0.0","0.0"
"Kendall Blanton","LAR","TE138","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ishmael Hyman","CAR","WR258","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jordan Franks","CIN","TE139","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Artavis Scott","IND","WR259","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Elijah McGuire","KC","RB163","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Da'Mari Scott","NYG","WR260","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Walker","JAC","WR261","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jalen Guyton","LAC","WR262","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jeff Smith","NYJ","WR263","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Evan Baylis","GB","TE140","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Zay Jones","LV","WR264","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jonathan Hilliman","NYG","RB164","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mike Thomas","CIN","WR265","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Ferguson","WAS","RB165","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Caleb Wilson","WAS","TE141","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dontrelle Inman","IND","WR266","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"David Fluellen","TEN","RB166","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Bellamy","NYJ","WR267","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jordan Matthews","SF","WR268","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"John Kelly","LAR","RB167","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gehrig Dieter","KC","WR269","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"D'Ernest Johnson","CLE","RB168","8.1","34.0","0.3","0.0","0.0","0.0","0.0","0.0"
"Wendell Smallwood","WAS","RB169","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Sean Culkin","LAC","TE142","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Isaiah Hodgins","BUF","WR270","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Devine Ozigbo","JAC","RB170","4.9","20.5","0.1","0.0","0.0","0.0","0.0","0.0"
"Stanley Morgan Jr.","CIN","WR271","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Antoine Wesley","BAL","WR272","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Peyton Barber","WAS","RB171","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jehu Chesson","NYJ","WR273","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyler Ervin","GB","RB172","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Matt Slater","NE","WR274","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cody Hollister","TEN","WR275","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Spencer Ware","KC","RB173","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ross Travis","NYJ","TE143","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Rodney Adams","IND","WR276","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Malcolm Perry","MIA","WR277","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Darvin Kidsy","WAS","WR278","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dan Vitale","NE","RB174","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Charone Peake","JAC","WR279","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Emmanuel Butler","NO","WR280","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Xavier Grimble","IND","TE144","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Taywan Taylor","CLE","WR281","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cullen Gillaspia","HOU","RB175","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyrone Swoopes","SEA","TE145","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jauan Jennings","SF","WR282","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Charles Jones","JAC","TE146","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Rico Gafford","LV","CB1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jonathan Williams","IND","RB176","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cole Wick","NO","TE147","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Taquan Mizzell","NO","RB177","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Frank Gore","NYJ","RB178","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"JoJo Natson","CLE","WR283","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Elijah Holyfield","PHI","RB179","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Marcell Ateman","LV","WR284","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
