,Player,Tm,Pos,Age,ADP,Cmp,Att,Yds,Int,Att,Yds,Tgt,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
354,Robert Griffin,BAL,QB,29,#N/A,23,38,225,2,20,70,0,0,0,0,0,0,225,1,38,70,0,20,0,0,16
411,Luke Willson,SEA,TE,29,#N/A,0,0,0,0,0,0,10,8,79,9.88,0,0,0,0,0,0,0,0,79,0,15.9
386,Troy Fumagalli,DEN,TE,24,#N/A,0,0,0,0,0,0,9,6,38,6.33,0,0,0,0,0,0,0,0,38,1,15.8
377,Rashard Higgins,CLE,WR,25,#N/A,0,0,0,0,0,0,11,4,55,13.75,0,0,0,0,0,0,0,0,55,1,15.5
385,Braxton Berrios,NYJ,WR,24,#N/A,0,0,0,0,0,0,13,6,115,19.17,1,1,0,0,0,0,0,0,115,0,15.5
388,Andy Janovich,DEN,RB,26,#N/A,0,0,0,0,1,1,5,5,42,8.4,0,0,0,0,0,1,1,1,42,0,15.3
401,D'Ernest Johnson,CLE,RB,23,#N/A,0,0,0,0,4,21,7,6,71,11.83,0,0,0,0,0,21,0,4,71,0,15.2
391,David Njoku,CLE,TE,23,83.5,0,0,0,0,0,0,10,5,41,8.2,0,0,0,0,0,0,0,0,41,1,15.1
381,Darren Sproles,PHI,RB,36,#N/A,0,0,0,0,17,66,10,6,24,4,1,0,0,0,0,66,0,17,24,0,15
417,Chris Hogan,CAR,WR,32,#N/A,0,0,0,0,0,0,15,8,67,8.38,0,0,0,0,0,0,0,0,67,0,14.7
413,Blake Bell,KAN,TE,28,#N/A,0,0,0,0,0,0,15,8,67,8.38,0,0,0,0,0,0,0,0,67,0,14.7
368,Rico Gafford,OAK,WR,23,#N/A,0,0,0,0,0,0,2,2,66,33,0,0,0,0,0,0,0,0,66,1,14.6
384,Marcell Ateman,OAK,WR,25,#N/A,0,0,0,0,0,0,10,5,116,23.2,1,1,0,0,0,0,0,0,116,0,14.6
420,Adam Shaheen,CHI,TE,25,#N/A,0,0,0,0,0,0,13,9,74,8.22,1,1,0,0,0,0,0,0,74,0,14.4
373,Kerrith Whyte,PIT,RB,23,#N/A,0,0,0,0,24,122,1,1,9,9,0,0,0,0,0,122,0,24,9,0,14.1
426,Tyler Conklin,MIN,TE,24,#N/A,0,0,0,0,0,0,10,8,58,7.25,0,0,0,0,0,0,0,0,58,0,13.8
390,JJ Nelson,OAK,WR,27,#N/A,0,0,0,0,0,0,5,4,36,9,0,0,0,0,0,0,0,0,36,1,13.6
421,Durham Smythe,MIA,TE,24,#N/A,0,0,0,0,0,0,14,7,65,9.29,0,0,0,0,0,0,0,0,65,0,13.5
444,Luke Stocker,ATL,TE,31,#N/A,0,0,0,0,0,0,14,8,53,6.63,1,0,0,0,0,0,0,0,53,0,13.3
393,Derek Watt,LAC,RB,27,#N/A,0,0,0,0,7,10,5,3,32,10.67,0,0,0,0,0,10,1,7,32,0,13.2
403,Lee Smith,BUF,TE,32,#N/A,0,0,0,0,0,0,5,4,31,7.75,0,0,0,0,0,0,0,0,31,1,13.1
419,Riley Ridley,CHI,WR,23,#N/A,0,0,0,0,0,0,7,6,69,11.5,0,0,0,0,0,0,0,0,69,0,12.9
389,T.J. Jones,NYG,WR,27,#N/A,0,0,0,0,0,0,4,3,38,12.67,3,0,0,0,0,0,0,0,38,1,12.8
372,Ben Roethlisberger,PIT,QB,37,106.8,35,62,351,1,1,7,0,0,0,0,1,0,351,0,62,7,0,1,0,0,12.74
414,Devontae Booker,DEN,RB,27,#N/A,0,0,0,0,2,9,9,6,57,9.5,0,0,0,0,0,9,0,2,57,0,12.6
399,Robert Foster,BUF,WR,25,#N/A,0,0,0,0,2,29,18,3,64,21.33,0,0,0,0,0,29,0,2,64,0,12.3
423,Spencer Ware,KAN,RB,28,#N/A,0,0,0,0,17,51,7,5,22,4.4,1,0,0,0,0,51,0,17,22,0,12.3
409,Trent Sherfield,ARI,WR,23,#N/A,0,0,0,0,0,0,13,4,80,20,0,0,0,0,0,0,0,0,80,0,12
436,Mike Davis,2TM,RB,26,#N/A,0,0,0,0,13,27,8,7,22,3.14,0,0,0,0,0,27,0,13,22,0,11.9
408,KhaDarel Hodge,CLE,WR,24,#N/A,0,0,0,0,0,0,10,4,76,19,0,0,0,0,0,0,0,0,76,0,11.6
431,Andre Patton,LAC,WR,25,#N/A,0,0,0,0,0,0,17,6,56,9.33,0,0,0,0,0,0,0,0,56,0,11.6
430,Zach Line,NOR,RB,29,#N/A,0,0,0,0,7,20,10,6,36,6,0,0,0,0,0,20,0,7,36,0,11.6
379,Javorius Allen,NYG,RB,28,#N/A,0,0,0,0,10,36,2,1,9,9,0,0,0,0,0,36,1,10,9,0,11.5
475,Ryan Switzer,PIT,WR,25,#N/A,0,0,0,0,0,0,11,8,27,3.38,1,0,0,0,0,0,0,0,27,0,10.7
415,Tra Carson,2TM,RB,27,#N/A,0,0,0,0,18,48,4,4,18,4.5,0,0,0,0,0,48,0,18,18,0,10.6
405,Nick Bellore,SEA,RB,30,#N/A,0,0,0,0,0,0,2,2,23,11.5,0,0,0,0,0,0,0,0,23,1,10.3
428,Tevin Jones,PIT,WR,27,#N/A,0,0,0,0,0,0,10,4,61,15.25,0,0,0,0,0,0,0,0,61,0,10.1
433,Clive Walford,MIA,TE,28,#N/A,0,0,0,0,0,4,8,4,57,14.25,0,0,0,0,0,4,0,0,57,0,10.1
437,Patrick DiMarco,BUF,RB,30,#N/A,0,0,0,0,3,7,7,5,41,8.2,0,0,0,0,0,7,0,3,41,0,9.8
404,Alex Armah,CAR,RB,25,#N/A,0,0,0,0,6,11,2,2,6,3,0,0,0,0,0,11,1,6,6,0,9.7
447,Cedrick Wilson,DAL,WR,24,#N/A,0,0,0,0,0,0,8,5,46,9.2,0,0,0,0,0,0,0,0,46,0,9.6
387,Deonte Harris,NOR,WR,22,#N/A,0,0,0,0,4,31,6,6,24,4,3,1,0,0,0,31,0,4,24,0,9.5
402,Marshawn Lynch,SEA,RB,33,#N/A,0,0,0,0,12,34,0,0,0,0,0,0,0,0,0,34,1,12,0,0,9.4
418,Troymaine Pope,LAC,RB,26,#N/A,0,0,0,0,10,20,3,2,14,7,1,1,0,0,0,20,0,10,14,1,9.4
434,Khari Blasingame,TEN,RB,23,#N/A,0,0,0,0,0,0,5,4,54,13.5,0,0,0,0,0,0,0,0,54,0,9.4
416,Cethan Carter,CIN,RB,24,#N/A,0,0,0,0,0,0,3,2,13,6.5,0,0,0,0,0,0,0,0,13,1,9.3
395,Kenjon Barner,ATL,RB,29,#N/A,1,1,3,0,4,28,8,6,22,3.67,4,1,3,0,1,28,0,4,22,0,9.12
446,DeAndrew White,CAR,WR,28,#N/A,0,0,0,0,0,0,9,4,51,12.75,0,0,0,0,0,0,0,0,51,0,9.1
412,Chad Beebe,MIN,WR,25,#N/A,0,0,0,0,0,0,2,2,70,35,3,0,0,0,0,0,0,0,70,0,9
429,Chris Lacy,DET,WR,23,#N/A,0,0,0,0,0,0,10,3,60,20,0,0,0,0,0,0,0,0,60,0,9
457,Travis Benjamin,LAC,WR,30,#N/A,0,0,0,0,0,0,16,6,30,5,0,0,0,0,0,0,0,0,30,0,9
398,Luke Falk,NYJ,QB,25,#N/A,47,73,416,3,0,0,0,0,0,0,2,1,416,0,73,0,0,0,0,0,8.64
406,Ventell Bryant,DAL,WR,23,#N/A,0,0,0,0,0,0,1,1,15,15,0,0,0,0,0,0,0,0,15,1,8.5
438,Jon Hilliman,NYG,RB,24,#N/A,0,0,0,0,30,91,4,3,1,0.33,2,2,0,0,0,91,0,30,1,0,8.2
441,Lance Kendricks,LAC,TE,31,#N/A,0,0,0,0,0,0,7,3,50,16.67,0,0,0,0,0,0,0,0,50,0,8
448,Deon Yelder,KAN,TE,24,#N/A,0,0,0,0,0,0,4,3,50,16.67,0,0,0,0,0,0,0,0,50,0,8
470,Drew Sample,CIN,TE,23,#N/A,0,0,0,0,0,0,6,5,30,6,0,0,0,0,0,0,0,0,30,0,8
442,Devine Ozigbo,JAX,RB,23,#N/A,0,0,0,0,9,27,5,3,23,7.67,0,0,0,0,0,27,0,9,23,0,8
495,Diontae Spencer,DEN,WR,27,#N/A,0,0,0,0,3,6,8,6,31,5.17,3,1,0,0,0,6,0,3,31,0,7.7
424,Dwayne Washington,NOR,RB,25,#N/A,0,0,0,0,8,60,1,1,6,6,0,0,0,0,0,60,0,8,6,0,7.6
466,Jordan Matthews,2TM,WR,27,#N/A,0,0,0,0,0,0,12,4,33,8.25,0,0,0,0,0,0,0,0,33,0,7.3
476,Ross Travis,IND,TE,26,#N/A,0,0,0,0,0,0,6,4,51,12.75,1,1,0,0,0,0,0,0,51,0,7.1
445,Trevon Wesco,NYJ,TE,24,#N/A,0,0,0,0,1,2,3,2,47,23.5,0,0,0,0,0,2,0,1,47,0,6.9
435,Deontay Burnett,PHI,WR,22,#N/A,0,0,0,0,0,0,4,2,48,24,0,0,0,0,0,0,0,0,48,0,6.8
450,Geremy Davis,LAC,WR,27,#N/A,0,0,0,0,0,0,3,3,38,12.67,0,0,0,0,0,0,0,0,38,0,6.8
443,Elijhaa Penny,NYG,RB,26,#N/A,0,0,0,0,15,39,4,2,9,4.5,0,0,0,0,0,39,0,15,9,0,6.8
439,Alexander Hollins,MIN,WR,23,#N/A,0,0,0,0,0,0,4,2,46,23,0,0,0,0,0,0,0,0,46,0,6.6
468,Johnny Mundt,LAR,TE,25,#N/A,0,0,0,0,0,0,7,4,26,6.5,0,0,0,0,0,0,0,0,26,0,6.6
454,Jason Moore,LAC,WR,24,#N/A,0,0,0,0,0,0,5,2,43,21.5,0,0,0,0,0,0,0,0,43,0,6.3
462,Devin Funchess,IND,WR,25,#N/A,0,0,0,0,0,0,5,3,32,10.67,0,0,0,0,0,0,0,0,32,0,6.2
480,Michael Crabtree,ARI,WR,32,#N/A,0,0,0,0,0,0,5,4,22,5.5,0,0,0,0,0,0,0,0,22,0,6.2
427,Brett Hundley,ARI,QB,26,#N/A,5,11,49,0,7,41,0,0,0,0,0,0,49,0,11,41,0,7,0,0,6.06
432,Tyrod Taylor,LAC,QB,30,#N/A,4,6,33,0,10,7,1,0,0,0,0,0,33,1,6,7,0,10,0,0,6.02
463,Johnny Holton,PIT,WR,28,#N/A,0,0,0,0,1,9,15,3,21,7,0,0,0,0,0,9,0,1,21,0,6
425,Matt Barkley,BUF,QB,29,#N/A,27,51,359,3,2,-4,0,0,0,0,3,1,359,0,51,-4,0,2,0,0,5.96
440,Taiwan Jones,HOU,RB,31,#N/A,0,0,0,0,9,40,1,1,9,9,0,0,0,0,0,40,0,9,9,0,5.9
460,Cody Core,NYG,WR,25,#N/A,0,0,0,0,0,0,5,3,28,9.33,0,0,0,0,0,0,0,0,28,0,5.8
488,Donte Moncrief,2TM,WR,26,119.8,0,0,0,0,0,0,15,4,18,4.5,0,0,0,0,0,0,0,0,18,0,5.8
453,Steven Mitchell,HOU,WR,25,#N/A,0,0,0,0,0,0,6,2,37,18.5,0,0,0,0,0,0,0,0,37,0,5.7
469,Andre Roberts,BUF,WR,31,#N/A,0,0,0,0,1,7,7,3,20,6.67,1,0,0,0,0,7,0,1,20,0,5.7
477,Nick Bawden,DET,RB,23,#N/A,0,0,0,0,0,0,6,4,17,4.25,0,0,0,0,0,0,0,0,17,0,5.7
472,Russell Shepard,NYG,WR,29,#N/A,0,0,0,0,0,0,8,3,25,8.33,0,0,0,0,0,0,0,0,25,0,5.5
465,Ishmael Hyman,TAM,WR,24,#N/A,0,0,0,0,0,0,4,2,34,17,0,0,0,0,0,0,0,0,34,0,5.4
505,Ryan Grant,OAK,WR,29,#N/A,0,0,0,0,0,0,9,4,14,3.5,0,0,0,0,0,0,0,0,14,0,5.4
458,C.J. Board,JAX,WR,26,#N/A,0,0,0,0,0,0,4,2,31,15.5,0,0,0,0,0,0,0,0,31,0,5.1
489,Chris Moore,BAL,WR,26,#N/A,0,0,0,0,1,0,5,3,21,7,0,0,0,0,0,0,0,1,21,0,5.1
473,Anthony Sherman,KAN,RB,31,#N/A,0,0,0,0,4,9,3,2,22,11,0,0,0,0,0,9,0,4,22,0,5.1
486,Marqise Lee,JAX,WR,28,#N/A,0,0,0,0,1,1,4,3,18,6,0,0,0,0,0,1,0,1,18,0,4.9
490,Stanley Morgan,CIN,WR,23,#N/A,0,0,0,0,0,0,10,3,18,6,0,0,0,0,0,0,0,0,18,0,4.8
455,Paul Perkins,DET,RB,25,#N/A,0,0,0,0,12,29,1,1,9,9,0,0,0,0,0,29,0,12,9,0,4.8
471,Da'Mari Scott,NYG,WR,24,#N/A,0,0,0,0,1,5,3,2,22,11,0,0,0,0,0,5,0,1,22,0,4.7
474,Cam Sims,WAS,WR,23,#N/A,0,0,0,0,0,0,3,2,27,13.5,0,0,0,0,0,0,0,0,27,0,4.7
459,Pharaoh Brown,CLE,TE,25,#N/A,0,0,0,0,0,0,3,2,27,13.5,0,0,0,0,0,0,0,0,27,0,4.7
464,Tanner Hudson,TAM,TE,25,#N/A,0,0,0,0,0,0,5,2,26,13,0,0,0,0,0,0,0,0,26,0,4.6
496,Bobo Wilson,TAM,WR,24,#N/A,0,0,0,0,0,0,11,3,35,11.67,3,1,0,0,0,0,0,0,35,0,4.5
491,Josh Oliver,JAX,TE,22,#N/A,0,0,0,0,0,0,6,3,15,5,0,0,0,0,0,0,0,0,15,0,4.5
449,C.J. Anderson,DET,RB,28,#N/A,0,0,0,0,16,43,0,0,0,0,0,0,0,0,0,43,0,16,0,0,4.3
487,T.J. Logan,TAM,RB,25,#N/A,0,0,0,0,3,10,3,2,13,6.5,0,0,0,0,0,10,0,3,13,0,4.3
452,Colt McCoy,WAS,QB,33,#N/A,18,27,122,1,2,14,0,0,0,0,2,0,122,0,27,14,0,2,0,0,4.28
451,Mike Glennon,OAK,QB,30,#N/A,6,10,56,0,2,0,0,0,0,0,3,1,56,1,10,0,0,2,0,0,4.24
479,Fred Brown,DEN,WR,26,#N/A,0,0,0,0,0,0,3,2,21,10.5,1,0,0,0,0,0,0,0,21,0,4.1
493,Eric Saubert,CHI,TE,25,#N/A,0,0,0,0,0,0,3,2,21,10.5,0,0,0,0,0,0,0,0,21,0,4.1
484,Tyler Ervin,2TM,RB,26,#N/A,0,0,0,0,1,10,4,2,11,5.5,2,0,0,0,0,10,0,1,11,0,4.1
467,Codey McElroy,TAM,WR,27,#N/A,0,0,0,0,0,0,1,1,30,30,0,0,0,0,0,0,0,0,30,0,4
478,Josh Bellamy,NYJ,WR,30,#N/A,0,0,0,0,0,0,3,2,20,10,0,0,0,0,0,0,0,0,20,0,4
482,Robert Davis,2TM,WR,24,#N/A,0,0,0,0,0,0,5,2,17,8.5,0,0,0,0,0,0,0,0,17,0,3.7
483,Ashton Dulin,IND,WR,22,#N/A,0,0,0,0,0,0,2,2,17,8.5,0,0,0,0,0,0,0,0,17,0,3.7
485,Darius Jennings,TEN,WR,27,#N/A,0,0,0,0,0,0,5,2,17,8.5,0,0,0,0,0,0,0,0,17,0,3.7
497,Zach Zenner,3TM,RB,28,#N/A,0,0,0,0,3,-2,3,2,19,9.5,0,0,0,0,0,-2,0,3,19,0,3.7
521,Gunner Olszewski,NWE,WR,23,#N/A,0,0,0,0,0,0,4,2,34,17,1,1,0,0,0,0,0,0,34,0,3.4
531,Mike Thomas,LAR,WR,25,#N/A,0,0,0,0,0,0,5,2,14,7,0,0,0,0,0,0,0,0,14,0,3.4
511,Cody Hollister,TEN,WR,26,#N/A,0,0,0,0,0,0,2,2,13,6.5,0,0,0,0,0,0,0,0,13,0,3.3
520,Isaac Nauta,DET,TE,22,#N/A,0,0,0,0,0,0,3,2,13,6.5,0,0,0,0,0,0,0,0,13,0,3.3
526,Scott Simonson,NYG,TE,27,#N/A,0,0,0,0,0,0,2,2,11,5.5,0,0,0,0,0,0,0,0,11,0,3.1
494,Keith Smith,ATL,RB,27,#N/A,0,0,0,0,5,8,3,1,13,13,0,0,0,0,0,8,0,5,13,0,3.1
532,Levine Toilolo,SFO,TE,28,#N/A,0,0,0,0,0,0,2,2,10,5,0,0,0,0,0,0,0,0,10,0,3
456,Jay Ajayi,PHI,RB,26,#N/A,0,0,0,0,10,30,1,0,0,0,0,0,0,0,0,30,0,10,0,0,3
481,Rashard Davis,TEN,WR,25,#N/A,0,0,0,0,0,0,1,1,16,16,0,0,0,0,0,0,0,0,16,0,2.6
461,Dalyn Dawkins,TEN,RB,25,#N/A,0,0,0,0,11,26,1,0,0,0,0,0,0,0,0,26,0,11,0,0,2.6
586,Roosevelt Nix,PIT,RB,27,#N/A,0,0,0,0,0,0,3,2,4,2,0,0,0,0,0,0,0,0,4,0,2.4
527,Jeff Smith,NYJ,WR,22,#N/A,0,0,0,0,0,0,2,1,12,12,0,0,0,0,0,0,0,0,12,0,2.2
502,Sean Culkin,LAC,TE,26,#N/A,0,0,0,0,0,0,2,1,12,12,0,0,0,0,0,0,0,0,12,0,2.2
529,De'Anthony Thomas,2TM,WR,26,#N/A,0,0,0,0,2,5,2,1,6,6,3,0,0,0,0,5,0,2,6,0,2.1
534,John Ursua,SEA,WR,25,#N/A,0,0,0,0,0,0,1,1,11,11,0,0,0,0,0,0,0,0,11,0,2.1
499,Antony Auclair,TAM,TE,26,#N/A,0,0,0,0,0,0,3,1,11,11,0,0,0,0,0,0,0,0,11,0,2.1
517,Chris Manhertz,CAR,TE,27,#N/A,0,0,0,0,0,0,1,1,11,11,0,0,0,0,0,0,0,0,11,0,2.1
501,Austin Carr,NOR,WR,26,#N/A,0,0,0,0,0,0,4,1,9,9,0,0,0,0,0,0,0,0,9,0,1.9
516,Ben Koyack,JAX,TE,26,#N/A,0,0,0,0,0,0,3,1,9,9,0,0,0,0,0,0,0,0,9,0,1.9
530,Jordan Thomas,HOU,TE,23,#N/A,0,0,0,0,0,0,3,1,8,8,0,0,0,0,0,0,0,0,8,0,1.8
522,Ricky Ortiz,NOR,RB,25,#N/A,0,0,0,0,0,0,1,1,8,8,0,0,0,0,0,0,0,0,8,0,1.8
509,Dwayne Harris,OAK,WR,32,#N/A,0,0,0,0,0,0,1,1,7,7,0,0,0,0,0,0,0,0,7,0,1.7
510,Chris Herndon,NYJ,TE,23,#N/A,0,0,0,0,0,0,2,1,7,7,0,0,0,0,0,0,0,0,7,0,1.7
525,Jaleel Scott,BAL,WR,24,#N/A,0,0,0,0,0,0,3,1,6,6,0,0,0,0,0,0,0,0,6,0,1.6
524,Dalton Schultz,DAL,TE,23,#N/A,0,0,0,0,0,0,2,1,6,6,0,0,0,0,0,0,0,0,6,0,1.6
492,Samaje Perine,2TM,RB,24,#N/A,0,0,0,0,5,16,0,0,0,0,0,0,0,0,0,16,0,5,0,0,1.6
514,Charles Jones,JAX,TE,23,#N/A,0,0,0,0,0,0,1,1,5,5,0,0,0,0,0,0,0,0,5,0,1.5
528,Tyrone Swoopes,SEA,TE,25,#N/A,0,0,0,0,0,0,1,1,5,5,0,0,0,0,0,0,0,0,5,0,1.5
513,Jakob Johnson,NWE,RB,25,#N/A,0,0,0,0,0,0,2,1,5,5,0,0,0,0,0,0,0,0,5,0,1.5
570,Krishawn Hogan,NOR,WR,24,#N/A,0,0,0,0,0,0,1,1,4,4,0,0,0,0,0,0,0,0,4,0,1.4
548,Darrell Daniels,ARI,TE,25,#N/A,0,0,0,0,0,0,3,1,4,4,0,0,0,0,0,0,0,0,4,0,1.4
561,Zach Gentry,PIT,TE,23,#N/A,0,0,0,0,0,0,1,1,4,4,0,0,0,0,0,0,0,0,4,0,1.4
589,Senorise Perry,BUF,RB,28,#N/A,0,0,0,0,3,3,1,1,1,1,0,0,0,0,0,3,0,3,1,0,1.4
506,Will Grier,CAR,QB,24,#N/A,28,52,228,4,7,22,0,0,0,0,1,1,228,0,52,22,0,7,0,0,1.32
565,Cyril Grayson,TAM,WR,26,#N/A,0,0,0,0,0,0,1,1,3,3,0,0,0,0,0,0,0,0,3,0,1.3
566,Xavier Grimble,PIT,TE,27,#N/A,0,0,0,0,0,0,3,1,3,3,0,0,0,0,0,0,0,0,3,0,1.3
498,Josh Adams,NYJ,RB,23,#N/A,0,0,0,0,8,12,0,0,0,0,0,0,0,0,0,12,0,8,0,0,1.2
508,Damien Harris,NWE,RB,22,151.4,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,12,0,4,0,0,1.2
504,John Franklin,TAM,WR,25,#N/A,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,11,0,1,0,0,1.1
602,Eric Tomlinson,3TM,TE,27,#N/A,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1.1
535,Dexter Williams,GNB,RB,22,#N/A,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,11,0,5,0,0,1.1
512,Buddy Howell,HOU,RB,23,#N/A,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,10,0,5,0,0,1
503,Josh Ferguson,WAS,RB,26,#N/A,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0.9
515,John Kelly,LAR,RB,23,#N/A,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0.9
523,Jordan Scarlett,CAR,RB,23,#N/A,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0.9
519,Ryan Nall,CHI,RB,24,#N/A,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0.8
518,Josh McCown,PHI,QB,40,#N/A,3,5,24,0,2,-2,0,0,0,0,0,0,24,0,5,-2,0,2,0,0,0.76
500,Tony Brooks-James,PIT,RB,25,#N/A,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0.7
507,Ryan Griffin,TAM,QB,30,#N/A,2,4,18,0,4,-1,0,0,0,0,0,0,18,0,4,-1,0,4,0,0,0.62
533,De'Lance Turner,MIA,RB,24,#N/A,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0.6
583,Alfred Morris,ARI,RB,31,#N/A,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0.4
550,James Develin,NWE,RB,31,#N/A,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0.3
595,Trevor Siemian,NYJ,QB,28,#N/A,3,6,3,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0.12
580,Trace McSorley,BAL,QB,24,#N/A,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.1
600,Alex Tanney,NYG,QB,32,#N/A,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.04
540,Tim Boyle,GNB,QB,25,#N/A,3,4,15,0,5,-7,0,0,0,0,0,0,15,0,4,-7,0,5,0,0,-0.1
562,Garrett Gilbert,CLE,QB,28,#N/A,0,3,0,0,3,-3,0,0,0,0,0,0,0,0,3,-3,0,3,0,0,-0.3
584,Nick Mullens,SFO,QB,24,#N/A,0,0,0,0,3,-3,0,0,0,0,0,0,0,0,0,-3,0,3,0,0,-0.3
618,Michael Walker,JAX,WR,23,#N/A,0,0,0,0,0,0,3,2,15,7.5,2,2,0,0,0,0,0,0,15,0,-0.5
611,Blake Bortles,LAR,QB,27,#N/A,1,2,3,0,2,-9,0,0,0,0,0,0,3,0,2,-9,0,2,0,0,-0.78
616,Darrius Shepherd,GNB,WR,24,#N/A,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,-0.9
614,Quincy Enunwa,NYJ,WR,27,#N/A,0,0,0,0,0,0,3,1,-4,-4,1,1,0,0,0,0,0,0,-4,0,-1.4
612,Sean Mannion,MIN,QB,27,#N/A,12,21,126,2,6,-5,0,0,0,0,1,1,126,0,21,-5,0,6,0,0,-1.46
617,Jarrett Stidham,NWE,QB,23,#N/A,2,4,14,1,2,-2,0,0,0,0,0,0,14,0,4,-2,0,2,0,0,-1.64
