,Player,Tm,Pos,Age,ADP,Cmp,Att,Yds,Int,Att,Yds,Tgt,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
54,Michael Gallup,DAL,WR,23,113.8,0,0,0,0,0,0,113,66,1107,16.77,0,0,0,0,0,0,0,0,1107,6,212.7
46,Kenyan Drake,2TM,RB,25,82.9,0,0,0,0,170,817,68,50,345,6.9,2,1,0,0,0,817,8,170,345,0,212.2
51,Stefon Diggs,MIN,WR,26,30.8,0,1,0,0,5,61,94,63,1130,17.94,4,3,0,0,1,61,0,5,1130,6,212.1
89,Daniel Jones,NYG,QB,22,#N/A,284,459,3027,12,45,279,0,0,0,0,18,11,3027,24,459,279,2,45,0,0,210.98
73,Davante Adams,GNB,WR,27,6.4,0,0,0,0,0,0,127,83,997,12.01,2,1,0,0,0,0,0,0,997,5,210.7
12,Mark Andrews,BAL,TE,23,142.1,0,0,0,0,0,0,98,64,852,13.31,2,1,0,0,0,0,0,0,852,10,207.2
101,Odell Beckham,CLE,WR,27,15.1,1,2,20,0,3,10,133,74,1035,13.99,1,1,20,0,2,10,0,3,1035,4,201.3
91,Mitchell Trubisky,CHI,QB,25,#N/A,326,516,3138,10,48,193,0,0,0,0,5,2,3138,17,516,193,2,48,0,0,200.82
90,Andy Dalton,CIN,QB,32,#N/A,314,528,3494,14,32,73,1,1,-4,-4,8,4,3494,16,528,73,4,32,-4,0,199.66
100,James White,NWE,RB,27,48.1,1,1,35,0,67,263,95,72,645,8.96,1,1,35,0,1,263,1,67,645,5,198.2
105,Jamison Crowder,NYJ,WR,26,128.8,0,0,0,0,1,4,122,78,833,10.68,0,0,0,0,0,4,0,1,833,6,197.7
48,Phillip Lindsay,DEN,RB,25,55.6,0,0,0,0,224,1011,48,35,196,5.6,0,0,0,0,0,1011,7,224,196,0,197.7
95,Devonta Freeman,ATL,RB,27,30.4,0,0,0,0,184,656,70,59,410,6.95,3,2,0,0,0,656,2,184,410,4,197.6
