,Player,Team,Pos,PassYds,PassTDs,Ints,RushYds,RushTDs,FumLost,G,Rec,RecYds,RecTDs,Opp,Week,TeamRec/G,TeamPassYds/G,TeamPassTDs/G,TeamInts/G,TeamRushTDs/G,TeamRushYds/G,% of TeamPassYds,% of TeamPassTDs,% of TeamInts,% of TeamRushYds,% of TeamRushTDs,% of TeamRec,% of TeamRecYds,% of TeamRecTDs,RecAllowed/G,PassYdsAllowed/G,PassTDsAllowed/G,IntsCaused/G,RushTDsAllowed/G,RushYdsAllowed/G,DI PassYds,DI PassTDs,DI Ints,DI RushYds,DI RushTDs,DI Rec,DI RecYds,DI RecTDs,HPPR Average Performance,HPPR Defense Ceiling,HPPR Opportunity Differential,PPR Average Performance,PPR Defense Ceiling,PPR Opportunity Differential
157,C.J. Ham,MIN,RB,0,0,0,2,0,0,2,0,0,0,TEN,3,15,186,1,2,1.5,107,0,0,0,0.018691588785047,0,0,0,0,26,277.5,2,1,1,136,0,0,0,2.54205607476635,0,0,0,0,0.2,0.254205607476635,0.054205607476636,0.2,0.254205607476635,0.054205607476636
158,Lynn Bowden Jr.,MIA,RB,0,0,0,0,0,0,1,1,-1,0,JAC,3,25.5,259.5,1,1.5,1,93,0,0,0,0,0,0.03921568627451,-0.003853564547206,0,27,301,2.5,1,0.5,105.5,0,0,0,0,0,1.05882352941176,-1.15992292870906,0,0.4,0.413419471834977,0.013419471834977,0.9,0.942831236540859,0.042831236540859
159,Kenny Stills,HOU,WR,0,0,0,0,0,0,2,2,8,0,PIT,3,22.5,264,1,1,1,84.5,0,0,0,0,0,0.088888888888889,0.03030303030303,0,22.5,277.5,2,1.5,0,66.5,0,0,0,0,0,2,8.40909090909091,0,1.8,1.84090909090909,0.040909090909091,2.8,2.84090909090909,0.040909090909091
160,Chris Streveler,ARI,QB,0,0,0,1.5,0,0,2,0,0,0,DET,3,26,258,1,1,2,170,0,0,0,0.008823529411765,0,0,0,0,19,241,2.5,0,1,204,0,0,0,1.8,0,0,0,0,0.15,0.18,0.03,0.15,0.18,0.03
161,James White,NE,RB,0,0,0,22,0,0,1,3,30,0,LV,3,22.5,276,0.5,0.5,2.5,142,0,0,0,0.154929577464789,0,0.133333333333333,0.108695652173913,0,24,290.5,1,0.5,2,120.5,0,0,0,18.669014084507,0,3.2,31.5760869565217,0,6.7,6.62451010410288,-0.075489895897122,8.2,8.22451010410288,0.024510104102879
162,DeAndre Carter,HOU,WR,0,0,0,0,0,0,2,1,4,0,PIT,3,22.5,264,1,1,1,84.5,0,0,0,0,0,0.044444444444445,0.015151515151515,0,22.5,277.5,2,1.5,0,66.5,0,0,0,0,0,1,4.20454545454546,0,0.9,0.920454545454546,0.020454545454546,1.4,1.42045454545455,0.020454545454546
163,Jared Cook,NO,TE,0,0,0,0,0,0,2,7,46.5,0.5,GB,3,22.5,255,1.5,0.5,1.5,97,0,0,0,0,0,0.311111111111111,0.182352941176471,0.333333333333333,19.5,251.5,2,1,1.5,111.5,0,0,0,0,0,6.06666666666667,45.8617647058824,0.666666666666667,11.15,11.6195098039216,0.469509803921568,14.65,14.6528431372549,0.002843137254901
164,Marcedes Lewis,GB,TE,0,0,0,0,0,0,2,1,2,0,NO,3,25,302,3,0,1.5,208.5,0,0,0,0,0,0.04,0.006622516556291,0,25.5,260.5,2.5,1,1,101,0,0,0,0,0,1.02,1.72516556291391,0,0.7,0.682516556291391,-0.017483443708609,1.2,1.19251655629139,-0.007483443708609
165,Jeff Wilson Jr.,SF,RB,0,0,0,1.5,0,0,2,0,0,0,NYG,3,20.5,230.5,2,0.5,1,152.5,0,0,0,0.009836065573771,0,0,0,0,19.5,209.5,2.5,1,0,138,0,0,0,1.35737704918033,0,0,0,0,0.15,0.135737704918033,-0.014262295081967,0.15,0.135737704918033,-0.014262295081967
166,Robert Woods,LAR,WR,0,0,0,16.5,0.5,0,2,8,59.5,0,BUF,3,20,271,1.5,0.5,2,172,0,0,0,0.09593023255814,0.25,0.4,0.219557195571956,0,26,271.5,1.5,0.5,1,75.5,0,0,0,7.24273255813954,0.25,10.4,59.609778597786,0,14.6,13.3852511155926,-1.21474888440745,18.6,18.5852511155926,-0.01474888440745
167,Ashton Dulin,IND,WR,0,0,0,0,0,0,2,1,3,0,NYJ,3,27.5,288.5,1,1.5,1,119.5,0,0,0,0,0,0.036363636363636,0.010398613518198,0,27.5,257,2,0.5,1.5,140,0,0,0,0,0,1,2.67244367417678,0,0.8,0.767244367417678,-0.032755632582322,1.3,1.26724436741768,-0.032755632582322
168,Anthony Sherman,KC,RB,0,0,0,1,0,0,2,0,0,0,BAL,3,25.5,256.5,2.5,0,0.5,145.5,0,0,0,0.006872852233677,0,0,0,0,23,232,1,1,0,94.5,0,0,0,0.649484536082474,0,0,0,0,0.1,0.064948453608248,-0.035051546391753,0.1,0.064948453608248,-0.035051546391753
169,Phillip Lindsay,DEN,RB,0,0,0,24,0,0,1,1,11,0,TB,3,20.5,246,1.5,0.5,0.5,105.5,0,0,0,0.227488151658768,0,0.048780487804878,0.044715447154472,0,26,282.5,1,1,1.5,84.5,0,0,0,19.2227488151659,0,1.26829268292683,12.6321138211382,0,4,3.81963260509382,-0.180367394906177,4.5,4.45377894655724,-0.046221053442761
170,Ross Dwelley,SF,TE,0,0,0,0,0,0,2,1,2.5,0,NYG,3,20.5,230.5,2,0.5,1,152.5,0,0,0,0,0,0.048780487804878,0.010845986984816,0,19.5,209.5,2.5,1,0,138,0,0,0,0,0,0.951219512195122,2.27223427331887,0,0.75,0.702833183429448,-0.047166816570552,1.25,1.17844293952701,-0.071557060472991
171,D'Ernest Johnson,CLE,RB,0,0,0,2.5,0,0,2,0,0,0,WAS,3,18.5,204,1.5,1,1.5,176.5,0,0,0,0.014164305949009,0,0,0,0,25,278,1.5,1.5,1,108.5,0,0,0,1.53682719546742,0,0,0,0,0.25,0.153682719546742,-0.096317280453258,0.25,0.153682719546742,-0.096317280453258
172,Joe Reed,LAC,WR,0,0,0,4,0,0,2,0,0,0,CAR,3,19,259.5,0.5,0.5,1,169,0,0,0,0.023668639053255,0,0,0,0,22.5,228,1,0.5,3,127.5,0,0,0,3.01775147928994,0,0,0,0,0.4,0.301775147928994,-0.098224852071006,0.4,0.301775147928994,-0.098224852071006
